context	tgt_term_gold	tgt_term_hyponym	tgt_term_hypernym	tgt_term_co-hyponym
Die nicht dem Regierungskommissär zugewiesenen Zuständigkeiten, die mit Gesetz den Außenverwaltungen des Staates und den Außenstellen der staatlichen Verwaltungen und Betriebe mit autonomer Ordnung zugewiesen sind oder zugewiesen werden können, bleiben unberührt.	Außenverwaltung		Staatsverwaltung	Zentralverwaltung
Fehlt dem Verein eines der vorgeschriebenen Organe oder das Mitgliederverzeichnis  oder verfügt er über kein Rechtsdomizil an seinem Sitz mehr, so kann ein Mitglied oder ein Gläubiger dem Gericht beantragen, die erforderlichen Massnahmen zu ergreifen.	Massnahme	Verfügung,Verwaltungsverfügung,gerichtliche Verfügung		
Das BVG Bundesverfassungsgesetz über die Begrenzung der Bezüge öffentlicher Funktionäre  enthält Regelungen betreffend die Begrenzungen von Bezügen öffentlicher Funktionäre des Bundes, der Länder und Gemeinden, ferner der Österreichischen Nationalbank, der gesetzlichen Interessensvertretungen und der Sozialversicherungsträger.	öffentlicher Funktionär	Amtsträger		
Soweit eine Verpflichtung des Anbieters von öffentlich zugänglichen Telekommunikationsdiensten zum Ersatz eines Vermögensschadens gegenüber einem Endnutzer besteht und nicht auf Vorsatz beruht, ist die Haftung auf höchstens 12 500 Euro je Endnutzer begrenzt.	Endnutzer		Benutzer,Nutzer	
Die dem Rundfunkdienst im Frequenzplan zugewiesenen Frequenzen können für andere Zwecke als der Übertragung von Rundfunk im Zuständigkeitsbereich der Länder genutzt werden, wenn dem Rundfunk die auf der Grundlage der rundfunkrechtlichen Festlegungen zustehende Kapazität zur Verfügung steht.	Rundfunk,Rundfunkdienst	Rundfunkinhaltedienst	Funkdienst	
„Zugang“ bedeutet die ausschließliche oder nicht ausschließliche Bereitstellung von Einrichtungen oder Diensten für ein anderes Unternehmen unter bestimmten Bedingungen zur Erbringung von Kommunikationsdiensten, auch bei deren Verwendung zur Erbringung von Diensten der Informationsgesellschaft oder Rundfunkinhaltsdiensten.	Rundfunkinhaltsdienst		Rundfunkdienst	
„Zugang“ ist die Bereitstellung von Einrichtungen oder Diensten für ein anderes Unternehmen unter bestimmten Bedingungen zum Zwecke der Erbringung von Telekommunikationsdiensten, auch bei deren Verwendung zur Erbringung von Diensten der Informationsgesellschaft oder Rundfunkinhaltediensten.	Rundfunkinhaltedienst		Rundfunk,Rundfunkdienst	
Der Abfallbeauftragte hat  im Zuge der Erstellung oder Fortschreibung des Abfallwirtschaftskonzeptes die Kosten der Abfallbehandlung und die Erlöse der Altstoffe dem Betriebsinhaber darzustellen.	Abfallbehandlung	Abfallbeseitigung,Abfallverwertung,Beseitigung,Verwertung		
Obwohl medizinische Abfälle nur einen geringen Anteil an der Gesamtmasse der gefährlichen und nicht gefährlichen Abfälle darstellen, bilden sie trotzdem einen mitunter sensiblen Bereich innerhalb der Abfallwirtschaft.	medizinischer Abfall		Sonderabfall	
Der Touristiksachbearbeiter/die Touristiksachbearbeiterin ist in der Südtiroler Touristikwerbung tätig und organisiert nach allgemeinen Zielvorgaben des/der Vorgesetzten eigenständig Werbemaßnahmen und wirbt für das Südtiroler Tourismusangebot in Wort und Schrift.	Touristiksachbearbeiter			Werbeassistent,Werbesachbearbeiter
Tourismusassistenten und -assistentinnen verfügen über fundierte Fachkenntnisse im Gästeempfang, in der Gästebetreuung und -beratung. Sie sind im Tourismus oder in der Freizeitbranche tätig und für die professionelle Vorbereitung und Betreuung von touristischen Events verantwortlich.	Tourismusassistent			Kommunikationsplaner
Der Übersetzungsinspektor/die Übersetzungsinspektorin befasst sich mit Übersetzungen von Rechts-, Verwaltungs- und allgemeinen Texten sowie mit damit verbundenen stilistischen Fragen.	Übersetzungsinspektor			Übersetzer
Der Bibliothekswart/die Bibliothekswartin entnimmt im Auftrag der Vorgesetzten und unter Anleitung des Personals, das höheren Berufsbildern angehört, Bücher und Medien und stellt sie nach der Ausleihe wieder an ihren Platz zurück.	Bibliothekswart			Bibliothekar
Der Bibliotheksinspektor/die Bibliotheksinspektorin wirkt mit bei der Planung und Einrichtung von Bibliotheken, sorgt für deren einheitliche Führung, plant und unterstützt Aktionen zur Leseförderung und ist für alle Bereiche von wissenschaftlichem Anspruch zuständig.	Bibliotheksinspektor			Archivar,Archivbeamter,Bibliothekar,Diplom-Bibliothekar
Der DV-Techniker-Analytiker/die DV-Technikerin-Analytikerin erstellt Analysen für Anwendungen und überwacht deren Umsetzung in Programme oder erstellt diese selbst; er/sie ist für das einwandfreie Funktionieren der Programme verantwortlich.	DV-Techniker-Analytiker			DV-Analytiker,DV-Analytiker-Systembetreuer,DV-Techniker
Der DV-Techniker/die DV-Technikerin entwickelt und schreibt mit den vorgeschriebenen Programmiertechniken Anwendungsprogramme auf der Grundlage von Programmiervorgaben; er/sie ist für das einwandfreie Funktionieren dieser Programme verantwortlich. Er/Sie betreut auch Betriebssysteme und Netze.	DV-Techniker			DV-Analytiker,DV-Analytiker-Systembetreuer,DV-Operator,DV-Techniker-Analytiker,EDV-Operator
Der Statistiker/die Statistikerin führt, gemäß den Richtlinien des/der Vorgesetzten, verschiedene Tätigkeiten in Zusammenhang mit der Sammlung und Auswertung von statistischen Informationen aus und koordiniert gegebenenfalls die Arbeit der seinem/ihrem Bereich zugeteilten Mitarbeiter und Mitarbeiterinnen.	Statistiker			Inspektor für Statistik,Statistikassistent,Statistikinspektor,Statistiksachbearbeiter
Das Standesamt stellt folgende Bescheinigungen aus: Geburtsscheine und Auszüge aus dem Geburtenregister; Trauscheine und Auszüge aus dem Heiratsregister; Totenscheine und Auszüge aus dem Sterberegister.	Auszug aus dem Geburtenregister		Auszug aus den Standesamtsregistern,Auszug des Standesamtes	Auszug aus dem Heiratsregister,Auszug aus dem Sterberegister
Das Standesamt stellt folgende Bescheinigungen aus: Geburtsscheine und Auszüge aus dem Geburtenregister; Trauscheine und Auszüge aus dem Heiratsregister; Totenscheine und Auszüge aus dem Sterberegister.	Auszug aus dem Heiratsregister		Auszug aus den Standesamtsregistern,Auszug des Standesamtes	Auszug aus dem Geburtenregister,Auszug aus dem Sterberegister
Das Standesamt stellt folgende Bescheinigungen aus: Geburtsscheine und Auszüge aus dem Geburtenregister; Trauscheine und Auszüge aus dem Heiratsregister; Totenscheine und Auszüge aus dem Sterberegister.	Auszug aus dem Sterberegister		Auszug aus den Standesamtsregistern,Auszug des Standesamtes	
Das ausführende Subjekt muss  das  Umfragedokument an folgende Stellen übermitteln: - bei Meinungsumfragen: an die Aufsichtsbehörde für Kommunikationswesen zur Veröffentlichung auf der Internetseite www.agcom.it; .	Meinungsumfrage		demoskopische Umfrage	
Die Fachoberschulen vermitteln durch das Erlernen, Vertiefen und Anwenden allgemeiner und spezifischer Methoden, bei enger Verzahnung von Theorie und Praxis, eine kulturelle, wirtschaftliche wissenschaftliche und technologische Grundbildung.	Fachoberschule	Fachoberschule für den technologischen Bereich,Fachoberschule für den wirtschaftlichen Bereich		Gymnasium,Lyzeum
Der Zugang zu den Verwaltungsunterlagen darf nicht verweigert werden, wenn der Rückgriff auf das Verzögerungsrecht genügt.	Zugang zu den Verwaltungsunterlagen	formeller Zugang,formloser Zugang,förmlicher Zugang,informeller Zugang		
Informationsfreiheit bedeutet, dass Informationen der öffentlichen Verwaltung (Verwaltungstransparenz) und Politik dem Bürger öffentlich gemacht werden (Öffentlichkeitsprinzip).	Öffentlichkeitsprinzip			Grundsatz der Wirtschaftlichkeit
Diese Befugnis zur Aufhebung im Selbstschutzwege erwächst aus dem verwaltungsrechtlichen Grundsatz der guten Verwaltung, aufgrund von welchem die Verwaltung verpflichtet ist, Maßnahmen zu treffen, die dem verfolgten Zweck so gut wie möglich entsprechen.	Grundsatz der guten Führung,Grundsatz der guten Verwaltung,Grundsatz der guten Verwaltungsführung			Grundsatz der Unparteilichkeit,Unparteilichkeitsgrundsatz
Gegen den Ablehnungsbescheid oder eine Ermächtigung mit Bedingungen des Bürgermeisters, die auf architektonischen, landschaftlichen oder ästhetischen Gründen fußen, kann der Gesuchsteller innerhalb von 30 Tagen an das  Kollegium für Landschaftsschutz Berufung einlegen.	Ablehnungsbescheid,Ablehnungsmaßnahme,Verweigerungsmaßnahme		Maßnahme,Verwaltungsbescheid,Verwaltungsmaßnahme	
Gegen die Verweigerungsmaßnahmen  und die Maßnahmen  kann Rekurs beim Innenminister eingelegt werden; dieser entscheidet innerhalb von 60 Tagen unter Mitwirkung des Ministers für Infrastruktur und Verkehr.	Ablehnungsbescheid,Ablehnungsmaßnahme,Verweigerungsmaßnahme		Maßnahme,Verwaltungsbescheid,Verwaltungsmaßnahme	
Für die von einem der Teilhaber eingeräumten Hypotheken sind die im 4. Abschnitt des 3. Titels des 6. Buches enthaltenen Bestimmungen zu beachten.	Buch	Rechtstitel,Titel	Gesetzbuch,Kode	
Das gebietsmäßig zuständige Ethikkomitee hat eine begründete positive Stellungnahme zum Forschungsprogramm abgegeben .	Ethikkomitee	Landesethikkomitee		
Wird die Einziehungsmaßnahme endgültig, so ist die Agentur für Staatsgüter ab Übermittlung der Maßnahme durch den Präfekten für die Auszahlung der Beträge zuständig.	Agentur für Domänenverwaltung,Agentur für Staatsgüter		Steueragentur,Steuerbehörde	Agentur der Einnahmen,Agentur für Einnahmen,Zoll- und Monopolagentur,Zollagentur
Die Feststellung der Steuern auf dem Gebiet der Provinzen erfolgt aufgrund von Leitlinien und strategischen Zielen, die durch Einvernehmen zwischen jeder Provinz und dem Minister für Wirtschaft und Finanzen und durch nachfolgende operative Vereinbarungen mit den Steueragenturen festgelegt werden.	Steueragentur,Steuerbehörde	Agentur der Einnahmen,Agentur für Domänenverwaltung,Agentur für Einnahmen,Agentur für Staatsgüter,Zoll- und Monopolagentur,Zollagentur		
Bei Privatisierung durch Abstoßung an den Markt werden die Archive der Behörden auch privatisiert, mit Ausnahme der laufenden Archive.	laufendes Archiv		Archiv,Endarchiv	Altablage,Altregistratur,Verwaltungsarchiv,Zwischenarchiv
In Lizenz hergestelltes Bier liegt vor, wenn ein Herstellungsbetrieb Bier nach der Rezeptur eines anderen Herstellungsbetriebs (Lizenzgeber) herstellt und dieses unter der Marke des Lizenzgebers vertreibt. Das Lizenzbier kann auch vom Lizenzgeber selber vertrieben werden.	Lizenzgeber			Lizenznehmer
Die Berufsfeuerwehren führen die Bezeichnung „Berufsfeuerwehr“ unter Beifügung des Namens der Gemeinde.	BF,Berufsfeuerwehr		Feuerwehr	FF,Freiwillige Feuerwehr
Neben dem Pflichtbereich versorgt die FF Meran als Bezirksstützpunktwehr den gesamten Bezirk Meran mit Sondereinsatzgeräten.	FF,Freiwillige Feuerwehr		Feuerwehr	BF,Berufsfeuerwehr
Auf gebührenpflichtigen Parklätzen werden für Wohnmobile Tarife angewandt, die um 50 % höher sind als die Tarife, die auf gleichen Parkplätzen in der Gegend für Personenkraftwagen erhoben werden.	Personenkraftwagen		Kraftwagen	
Bei zweiachsigen Kraftomnibussen oder Oberleitungsbussen, die für den öffentlichen Linienverkehr im innerstädtischen und im Vorstadtbereich bestimmt sind, beträgt die höchstzulässige Gesamtmasse 19 t.	Kraftomnibus		Kraftwagen	
Gesellschaftswagen und Kleinbusse benötigen Notausstiege mit einer lichten Weite von mindestens 0,60 m auf 0,43 m.	Kleinbus		Motorwagen	
Bei Kombinationskraftwagen  muß in dem Raum zur wahlweisen Beförderung von Personen oder Gütern nach dem Umlegen oder Entfernen der Sitze eine feste, unbewegliche Ladefläche zur Aufnahme von Gütern zu bilden sein, auf der Güter sicher aufliegen können.	Kombinationskraftwagen		Fahrzeug,Kraftwagen	
Starre Anhänger an Personenwagen, Lieferwagen und Kleinbussen dürfen höchstens l,50 m lang und nicht breiter sein als das Zugfahrzeug und ein Gesamtgewicht von höchstens 0,30 t aufweisen.	Lieferwagen		Fahrzeug,Motorwagen	
Landwirtschaftliche Traktoren und Motorkarren müssen mit einer geprüften Schutzeinrichtung, wie z. B. Sicherheitskabine, Sicherheitsrahmen oder Sicherheitsbügel, versehen sein, die bei Unfällen ein Überrollen des Fahrzeugs nach Möglichkeit verhindert und den Führer oder die Führerin schützt.	Motorkarre		Motorwagen	
Die Verwaltungsrichter, die Sekretariatsbediensteten und die Hilfskräfte tragen bei öffentlichen Verhandlungen die vom Präsidialrat für die Verwaltungsgerichtsbarkeit vorgeschriebene Robe oder Amtstracht.	Verwaltungsrichter		Gericht,Richter	
Zum Personenlinienverkehr dürfen folgende Fahrzeuge bestimmt werden: Kraftomnibusse, Gelenkbusse, Sattelkraftfahrzeuge, Lastzüge, Oberleitungsbusse, Gelenk-Oberleitungsbusse, Oberleitungssattelzüge und Oberleitungslastzüge, die dem Personenverkehr dienen.	Gelenkbus		Fahrzeug,Kleinbus	
Bei Wohnmobilen mit einer zulässigen Gesamtmasse von mehr als 2,5 t genügt für die hinteren Sitze die Ausrüstung mit Verankerungen zur Anbringung von Beckengurten und mit Beckengurten.	Wohnmobil		Fahrzeug	
Das Landgericht hat dabei mehrere Fuhren an einem Tag zu einer Tat zusammengefaßt, wenn es sich um die Abholung einer zuvor zusammengestellten Lieferung handelte, die die Ladekapazität eines Lastzuges überschritt.	Lastzug		Fahrzeug	
Die Wahrnehmung der  straßenpolizeilichen Aufgaben obliegt:  d-bis) im Rahmen ihrer jeweiligen Gebietszuständigkeit den Korps und Dienststellen der Provinzpolizei, .	Provinzpolizei		Ortspolizei	
Die Schulen der Unter- und Oberstufe erleichtern durch gemeinsame Orientierungsmaßnahmen den Schülerinnen und Schülern die Wahl der geeigneten weiterführenden Schule.	Schule	Staatsschule,nichtstaatliche Schule,staatliche Schule		
Schulen im Sinne dieser Bestimmungen des Suchmittelgesetzes sind die öffentlichen und privaten Schulen gemäß Schulorganisationsgesetz, BGBl. Nr. 242/1962, die öffentlichen land- und forstwirtschaftlichen Schulen sowie alle anderen Privatschulen.	Privatschule,private Schule	gleichgestellte Schule,nicht gleichgestellte Schule	nichtstaatliche Schule	
Zu den Tätigkeiten  gehören auch Lehrgänge, didaktische und schulische Tätigkeiten, einschließlich der Finanzierung von Privatschulen, die gesetzlich anerkannte Studientitel verleihen, private Hochschulen, Tagungen und Lehrfahrten für Lehrpersonen sowie der Ankauf von didaktischem und wissenschaftlichem Material.	Privatschule,private Schule	gleichgestellte Schule,nicht gleichgestellte Schule	nichtstaatliche Schule	
Die Direktion der genehmigten Privatschule, die für eine bestimmte Prüfung mindestens 25 Schüler anmeldet, kann beim zuständigen Grundschuldirektor beantragen, die Eignungs- bzw. Abschlussprüfungen am Sitz der Privatschule durchzuführen.	genehmigte Privatschule		nichtstaatliche Schule	gleichgestellte Grundschule,gleichgestellte Schule,staatlich unterstützte Grundschule
Die Modalitäten für die Ausführung der gemeinnützigen Arbeit legt der Justizminister im Einvernehmen mit der Gemeinsamen Konferenz laut Artikel 8 des Legislativdekrets vom 28. August 1997, Nr. 281, mit Dekret fest.	Gemeinsame Konferenz	Konferenz Staat-Städte und lokale Autonomien,Konferenz Staat-Städte-Körperschaften mit Gebietsautonomie,Staat-Regionen-Konferenz,ständige Konferenz für die Beziehungen zwischen dem Staat, den Regionen und den autonomen Provinzen Trient und Bozen		
Wer zu Fuß geht und einachsige Zug- oder Arbeitsmaschinen an Holmen oder Handfahrzeuge mitführt, hat mindestens eine nach vorn und hinten gut sichtbare, nicht blendende Leuchte mit weißem Licht auf der linken Seite anzubringen oder zu tragen.	Handfahrzeug		Fahrzeug	
Die Bespannung zweispänniger Fuhrwerke, die (nur) eine Deichsel (in der Mitte) haben, mit nur einem Zugtier ist unzulässig, wenn die sichere und schnelle Einwirkung des Gespannführers auf die Lenkung des Fuhrwerks nicht gewährleistet ist.	Fuhrwerk		Fahrzeug	
Bei Handwagen und Schlitten sowie bei land- oder forstwirtschaftlichen Arbeitsmaschinen, die nur im Fahren Arbeit leisten können (zum Beispiel Pflüge, Drillmaschinen, Mähmaschinen), ist eine Bremse nicht erforderlich.	Schlitten		Fuhrwerk,Gespannfuhrwerk	
Zur Klasse der atypischen Fahrzeuge gehören Kradfahrzeuge und Kraftwagen, die als Oldtimer gelten oder die von historischem Interesse sind und Sammlerwert besitzen.	Kradfahrzeug		Kfz,Kraftfahrzeug	
Kenntnis des Aufbaus und der Funktionsweise von Baumaschinen (Hoch- bzw. Tiefbau) und Anbaugeräten (zB Bagger, Kettenlader, Krananlagen, Bauarten von Kränen, Walzen, Stapler, Bohrmaschinen, Ladekränen, Hydraulikhämmer) sowie des Aufbaus und der Funktion der Einzelbaugruppen.	Baumaschine		Fahrzeug	
Kleinkrafträder, Krafträder, dreirädrige Kraftfahrzeuge, vierrädrige Kraftfahrzeuge und Kraftwagen dürfen nicht ohne Führerschein und, wenn vorgeschrieben, ohne berufliche Befähigung geführt werden.	Kraftrad		Kradfahrzeug	
Die Nutzung durch Dritte umfasst: a) die Vermietung ohne Fahrer, b) die Personenbeförderung im Mietfahrzeug mit Fahrer und im Taxi, c) den Personenlinienverkehr, d) die gewerbliche Güterbeförderung, e) den Güterlinienverkehr, f) die gewerbliche Güterbeförderung im Taxi.	Nutzung durch Dritte		Nutzung des Fahrzeugs	Eigennutzung
Bei Motorrädern mit Beiwagen muß der Beiwagen mit Vorrichtungen ausgerüstet sein, mit denen der im Beiwagen Sitzende die Kupplung und die auf das Hinterrad wirkende Bremse betätigen kann.	Beiwagen		Anhänger	
Veteranenfahrzeuge müssen der ursprünglichen Ausführung entsprechen sowie optisch und technisch in einwandfreiem Zustand sein. Veteranenfahrzeuge werden in der Regel nur noch zu besonderen Anlässen oder zur Verhinderung von Standschäden im Strassenverkehr eingesetzt.	Veteranenfahrzeug	Motorrad,Motorwagen		
Unterliegt ein Gut nicht dem Ausschlussprinzip und zudem der Nichtrivalität des Konsums, so wird auch von einem (geborenen) öffentlichen Gut gesprochen.	Gut	Investitionsgut,Kapitalgut,Produktionsgut		
Der Lärmschutzbereich eines Flugplatzes wird nach dem Maße der Lärmbelastung in zwei Schutzzonen für den Tag und eine Schutzzone für die Nacht gegliedert.	Lärmbelastung		Verschmutzung,Verunreinigung	
Die Einleitung von Klärschlamm in Oberflächengewässer, insbesondere von Schiffen oder durch Leitungssysteme, ist verboten.	Oberflächengewässer		Gewässer	Grundwasser
Die Untertagedeponie kann zur Entsorgung folgender Abfalltypologien realisiert werden: - Inertabfälle, - nicht gefährliche Abfälle, - gefährliche Abfälle.	Untertagedeponie		Deponie	
Bei im Ausland gegründeten Gesellschaften ohne Zweitsitz mit ständiger Vertretung im Staatsgebiet muss sich die Antimafia-Dokumentation auf diejenigen beziehen, welche die Verwaltungs-, Vertretungs- oder Unternehmensleitungsbefugnis innehaben.	Antimafia-Bescheinigung,Antimafia-Dokumentation	Antimafia-Information,Antimafia-Mitteilung		
Die Antimafia-Bescheinigung besteht aus zwei Antimafia-Erklärungen („Mitteilung“ und „Information“).	Antimafia-Bescheinigung,Antimafia-Dokumentation	Antimafia-Information,Antimafia-Mitteilung		
Die Entsorger sind grundsätzlich verpflichtet auch die nicht gefährlichen Abfälle, die bei der Lagerung und Behandlung von anderen Abfällen als Output anfallen, bei ihrer Abgabe als Zweiterzeuger zu registrieren.	Zweiterzeuger		Abfallerzeuger	Ersterzeuger
Am 14. Januar 2017 ist das Nationale System für den Schutz der Umwelt (NSSU) in Kraft getreten.	NSSU,Nationales System für den Schutz der Umwelt	Höhere Anstalt für Umweltschutz und Forschung,ISPRA,Landesagentur für Umwelt,Landesagentur für Umweltschutz,Regionale Agentur für Umwelt		
Der Schutz der Umwelt durch das Strafrecht war vor Einführung der Umweltdelikte mit Gesetz Nr. 68/2015 völlig unzureichend.	Umweltdelikt	Umweltkatastrophe,Umweltverschmutzung,Verhinderung der Kontrolle,unerlaubter Umgang und sich Entledigen von hochradioaktiven Stoffen,unterlassene Sanierung		
Der Schutz und die Aufwertung des kulturellen Erbes sollen das Verständnis für die Geschichte der nationalen Gemeinschaft und für ihre Heimat sowie die Kulturentwicklung fördern.	Aufwertung des kulturellen Erbes		Denkmalschutz	
Das Ministerium und die Regionen bestimmen einvernehmlich die politische Ausrichtung zur Erhaltung und Aufwertung der Landschaft .	Aufwertung der Landschaft		Landschaftsschutz	Erhaltung der Landschaft
Die Landschaftsplanung hat die Aufgabe, die Ziele des Naturschutzes und der Landschaftspflege für den jeweiligen Planungsraum zu konkretisieren .	Landschaftspflege		Landschaftsschutz	
Die Verwaltungsaufgaben und -befugnisse zum Schutze der Landschaftsgüter werden vom Staat und von den Regionen  auf die Weise wahrgenommen, dass jederzeit eine einheitliche und den jeweiligen Zielen entsprechende Verwaltung gewährleistet ist.	Schutz der Landschaftsgüter			Denkmalpflege,Denkmalschutz
Das Ministerium legt, auch mit Hilfe der Regionen und in Zusammenarbeit mit den zuständigen Universitäten und Forschungsanstalten, Richtlinien, technische Vorschriften, Kriterien und Modelle für Eingriffe zur Erhaltung von Kulturgütern fest.	Erhaltung von Kulturgütern	Prävention,Restaurierung,Verhütung,Vorbeugung	Denkmalpflege,Denkmalschutz	Aufwertung von Kulturgütern
Die Konservierung konzentriert sich auf die Erhaltung der überlieferten Substanz, wobei die authentischen Eigenschaften des Objektes durch den Eingriff möglichst wenig verändert werden sollten.	Konservierung	Prävention,Restaurierung,Verhütung,Vorbeugung,passive Konservierung,präventive Konservierung,vorbeugende Konservierung	Denkmalpflege,Denkmalschutz,Kulturgutschutz	
Bei der Beschlussfassung über den Plan oder das Programm oder über die Regierungsvorlage sind der Umweltbericht und die im Konsultationsverfahren abgegebenen Stellungnahmen einschließlich der Ergebnisse allfälliger grenzüberschreitender Konsultationen nachvollziehbar zu berücksichtigen.	Umweltbericht		SUP,strategische Umweltprüfung	
Auswahlverfahren: Die numerische Aufnahme erfolgt wie bisher. Die öffentlichen Arbeitgeber suchen beim Arbeitsamt um die Zuweisung zur Auswahl von Menschen mit Behinderung an, die in den Pflichtvermittlungslisten eingetragen sind.	numerische Aufnahme,numerische Berufung			namentliche Aufnahme
Die regionalen Rechtsprechungssektionen und die Rechtsprechungssektionen von Trient und von Bozen treffen ihre Entscheidungen durch drei Mitglieder des Richterstandes einschließlich des Präsidenten.	regionale Rechtsprechungssektion		Rechtssprechungssektion	Berufungssektion,vereinigte Sektion
Organe der Gerichtsbarkeit des Rechnungshofs sind die zentrale Berufungssektion mit Sitz in Rom, deren Zuständigkeit sich auf das Staatsgebiet erstreckt, und die Berufungssektion für die Region Sizilien mit Sitz in Palermo, deren Zuständigkeit sich auf das Regionalgebiet erstreckt.	Berufungssektion		Rechtssprechungssektion	regionale Rechtsprechungssektion,vereinigte Sektion
Die vereinigten Rechtsprechungssektionen entscheiden über Zuständigkeitskonflikte sowie über Grundsatzfragen, die ihnen von den Berufungssektionen oder vom Präsidenten des Rechnungshofs zugeschoben werden, oder auf Antrag des Generalstaatsanwalts.	vereinigte Rechtsprechungssektion		Rechtssprechungssektion,vereinigte Sektion	vereinigte Sektion in besonderer Zusammensetzung,vereinigte Sektion in ihrer Beschlussfunktion,vereinigte Sektion in ihrer Kontrollfunktion,vereinigte Sektion in ihrer beratenden Funktion
Der Ausdruck „Vertragnehmer“ bezeichnet jede natürliche oder juristische Person, Körperschaft oder Vereinigung, die mit einem Anbieter öffentlich zugänglicher elektronischer Kommunikationsdienste einen Vertrag über die Bereitstellung derartiger Dienste geschlossen hat oder jedenfalls Empfänger solcher Dienste durch Wertkarten ist, .	Anbieter des öffentlich zugänglichen elektronischen Kommunikationsdienstes,Anbieter eines öffentlich zugänglichen elektronischen Kommunikationsdienstes,Anbieter öffentlich zugänglicher elektronischer Kommunikationsdienste		Anbieter des Dienstes	
Die Pflicht zur Erlassung von Datensicherheitsmaßnahmen im Sinne der Art. 24, 25 und 32 DSGVO im Zusammenhang mit der Erbringung eines öffentlichen Kommunikationsdienstes obliegt jedem Betreiber eines öffentlichen Kommunikationsdienstes jeweils für jeden von ihm erbrachten Dienst.	Betreiber eines öffentlichen Kommunikationsdienstes,Betreiber öffentlicher Kommunikationsdienste		Diensteanbieter	
Im Fall einer Verletzung des Schutzes personenbezogener Daten hat unbeschadet  der Betreiber öffentlicher Kommunikationsdienste unverzüglich die Datenschutzbehörde von dieser Verletzung zu benachrichtigen.	Betreiber eines öffentlichen Kommunikationsdienstes,Betreiber öffentlicher Kommunikationsdienste		Diensteanbieter	
Der Teilnehmer kann von einem Anbieter eines öffentlich zugänglichen Telefondienstes verlangen, dass dieser einer Störung unverzüglich, auch nachts und an Sonn- und Feiertagen, nachgeht, wenn der Anbieter von öffentlich zugänglichen Telekommunikationsdiensten über beträchtliche Marktmacht verfügt.	Anbieter eines öffentlich zugänglichen Telekommunikationsdienstes,Anbieter von öffentlich zugänglichen Telekommunikationsdiensten		Anbieter des Dienstes,Diensteanbieter	
„Zugehörige Dienste“ bedeutet diejenigen mit einem Kommunikationsnetz oder einem Kommunikationsdienst verbundenen Dienste, welche die Bereitstellung von Diensten über dieses Netz oder diesen Dienst ermöglichen oder unterstützen bzw. dazu in der Lage sind; .	Bereitstellung von Diensten	Bereitstellung von Diensten mit Zusatznutzen,Bereitstellung öffentlich zugänglicher Kommunikationsdienste		
Mit Maßnahme des Generalsekretärs des Rechnungshofs in seiner Rolle als Verantwortlicher des Kostenzentrums werden allgemeine Bestimmungen über die Festsetzung der Vergütungen für die Sachverständigen und Verwahrer festgelegt.	Generalsekretär des Rechnungshofs	Informatikausschuss des Rechnungshofs	Präsident des Rechnungshofs	
Die dem Rechnungshof angehörenden Mitglieder des Richterstandes, die den Kontrollsektionen und -ämtern zugeteilt sind, melden der zuständigen Regionalstaatsanwaltschaft sämtliche im Rahmen der Ausübung ihrer Funktionersichtlichen Tatsachen, aus denen eine Haftung für Schäden zum Nachteil der öffentlichen Hand erwachsen kann.	Regionalstaatsanwaltschaft	Regionalstaatsanwalt		
Die Aufgaben des Staatsanwalts bei den mit der Rechtsprechung befassten Sektionen übt der Regionalstaatsanwalt oder ein anderes dem Amt zugewiesenes Mitglied des Richterstands aus.	Regionalstaatsanwalt		Regionalstaatsanwaltschaft	
Kulturwege, archäologische Parks und Kulturlandschaftspflege-Projekte verbinden Denkmal- und Naturschutz mit einer breiten Öffentlichkeitsarbeit und Forschung.	archäologischer Park			Archiv,Bibliothek,Endarchiv,Ensemble,Museum
Falls es notwendig sein sollte, bestimmte Körperteile vor besonderen Risiken zu schützen, müssen den Arbeitnehmern geeignete Schutzmittel zur Verfügung gestellt werden, wie zum Beispiel angemessene Schutzschirme, Schürzen, Brustschutz, Beinschienen oder Gamaschen.	Beinschiene		Beinschutz,Beinschutzausrüstung	Gamasche,Knieschützer
Falls es notwendig sein sollte, bestimmte Körperteile vor besonderen Risiken zu schützen, müssen den Arbeitnehmern geeignete Schutzmittel zur Verfügung gestellt werden, wie zum Beispiel angemessene Schutzschirme, Schürzen, Brustschutz, Beinschienen oder Gamaschen.	Brustschutz		PSA,persönliche Schutzausrüstung	
Dreifingerhandschuhe eignen sich für Arbeiten, die den Gebrauch einzelner Finger in gewissem Umfang erfordern («Schlüsselgriff»). Dazu gehören zum Beispiel Schweissen, Schleifen und Reparaturarbeiten.	Dreifingerhandschuh		Schutzhandschuh	Fausthandschuh,Fünffingerhandschuh
Das Schutzsystem gegen Absturz, zertifiziert für den spezifischen Einsatz, muss einen freien Sturz von höchstens 1,5 m, oder bei Vorhandensein von Falldämpfern von 4 m, zulassen.	Falldämpfer		Auffangsystem,Schutzsystem gegen Absturz	Auffanggurt,Verbinder
Fünffingerhandschuhe eignen sich, wenn höhere Anforderungen an die Fertigkeit und das Tastgefühl der Hände und Finger gestellt werden.	Fünffingerhandschuh		Schutzhandschuh	Dreifingerhandschuh,Fausthandschuh
