context	tgt_term_gold	tgt_term_AT	tgt_term_DE	tgt_term_CH
Über die von den Parteien im Lauf der Hauptverhandlung aufgeworfenen Zwischenstreitfragen entscheidet das Gericht sofort und nach deren Erörterung, die auf in Artikel 491 vorgesehene Art und Weise zu erfolgen hat, mit Beschluß.	Zwischenstreitfrage			Zwischenfrage
Die Staatsanwaltschaft erhebt, wenn sie nicht die Archivierung beantragen muß, Anklage, indem sie in den im 2., 3., 4. und 5. Titel des 4. Buche (444 ff.) vorgesehenen Fällen den Anklagesatz abfaßt oder die Einleitung des Hauptverfahrens (417) beantragt.	Einleitung des Hauptverfahrens	Anordnung der Hauptverhandlung	Eröffnung des Hauptverfahrens	
Die Hauptstrafen werden vom Richter durch das auf Verurteilung lautende Urteil verhängt; die Nebenstrafen treten kraft Gesetzes als strafrechtliche Wirkung der Verurteilung ein.	auf Verurteilung lautendes Urteil	schuldig sprechendes Urteil	verurteilendes Urteil	
Wenn die Anklage nicht erhoben werden hätte dürfen oder nicht weiter verfolgt werden darf, fällt das Gericht ein Urteil auf Unzulässigkeit des Verfahrens, wobei der Grund hierfür im Urteilsspruch anzuführen ist.	Urteil auf Unzulässigkeit des Verfahrens		Einstellungsurteil	
Über den Antrag auf Aussetzung des Verfahrens gemäß dem vorhergehenden Artikel entscheidet der Vollstreckungsrichter nach Anhörung der Parteien mit Beschluß.	Aussetzung des Verfahrens	Unterbrechung des Verfahrens	Verfahrensaussetzung	Sistierung des Verfahrens
Anwärter auf den Führerschein der Klasse B müssen an einer Fahrschule mit einem ausgebildeten und dazu berechtigten Praxisfahrlehrer Fahrübungen auf der Autobahn oder auf Freilandstraßen sowie bei Dunkelheit machen.	Freilandstraße		Außerortsstraße	
Als Berechnungsbasis des Betrags, der jährlich dem Land zu überweisen ist wird die Menge der Bioabfälle  berücksichtigt, die einer Verwertungsanlage zugeführt wird (davon ausgenommen sind die Grünabfälle).	Bioabfall			biogener Abfall
Wenn sich auch aus der Festsetzung des Aufgabenbereiches Schlussfolgerungen für die konkreten Dienstpflichten des ao Universitätsprofessors ergeben, so ist dies als Organisationsakt von dem dienstrechtlichen Ernennungsakt zu unterscheiden.	Organisationsakt	organisationsrechtlicher Akt		
Kleinkrafträder müssen für den Straßenverkehr mit Folgendem ausgerüstet sein: mit einer Fahrzeugbescheinigung, welche die baulichen Daten und die Identifizierungsdaten des Fahrzeugs enthält sowie die Daten des Kennzeichens und des Inhabers.	Fahrzeugbescheinigung	Zulassungsschein		Fahrzeugausweis
Änderung der baulichen Merkmale bereits verkehrender Fahrzeuge und Nachtrag im Fahrzeugschein	Nachtrag im Fahrzeugschein		Berichtigung der Zulassungsbescheinigung Teil I	
Die Person, welche die Anhaltung vorgenommen hat, hat den Angehaltenen und die Sachen, die Überführungsstücke darstellen, an die Gerichtspolizei zu übergeben .	Angehaltener,Verhafteter	Festgenommener	Festgenommener	Festgenommener,angehaltene Person
Die Anklage ist von Amts wegen zu erheben, wenn nicht ein Strafantrag, ein Ersuchen, ein Ansuchen oder eine Ermächtigung zur Strafverfolgung notwendig ist.	Anklage,Strafverfolgung	Strafklage	Strafklage	
In Interessensabwägung zwischen Opferschutz, effektiver Opferhilfe und legitimer Strafverfolgung hat sich der Gesetzgeber  dazu entschlossen, Behörden oder öffentliche Dienststellen dann von der Anzeigepflicht auszunehmen, wenn die Anzeige eine amtliche Tätigkeit beeinträchtigen würde, deren Wirksamkeit eines persönlichen Vertrauensverhältnisses bedarf.	Anklage,Strafverfolgung	Strafklage	Strafklage	
Erläßt der Richter für die Vorerhebungen das Dekret auf Archivierung, verständigt er, wenn er weitere Erhebungen für erforderlich hält, die Generalstaatsanwaltschaft beim Oberlandesgericht.	Archivierungsdekret,Dekret auf Archivierung		Verfügung der Einstellung	
Die Verhandlung findet in nichtöffentlicher Sitzung unter notwendiger Teilnahme der Staatsanwaltschaft und des Verteidigers der den Vorerhebungen unterworfenen Person statt. Ebenso hat der Verteidiger der verletzten Person ein Recht, an ihr teilzunehmen.	Verteidiger der verletzten Person		Vertreter des Verletzten	Vertreter des Verletzten
Der Präsident des Oberlandesgerichts nimmt so bald als möglich und jedenfalls innerhalb von fünf Tagen ab der Vollstreckung der Zwangsmaßnahme die Identifizierung der Person vor.	Feststellung der Identität der Person,Identifizierung der Person		Identitätsfeststellung	
Die Feststellung der Identität der Person, gegen welche die Erhebungen geführt werden, kann erforderlichenfalls auch durch die Abnahme von Fingerabdrücken, durch fotografische Aufnahmen und durch die Abnahme der Körpermaße sowie durch sonstige Ermittlungen vorgenommen werden.	Feststellung der Identität der Person,Identifizierung der Person		Identitätsfeststellung	
Gegenstand der Beweisführung sind Tatsachen, die sich auf die Anklage, auf die Strafbarkeit und auf die Bestimmung der Strafe oder der Sicherungsmaßnahme beziehen (348, 421 Abs. 2).	Anklage,Anklagesatz	Anklageschrift,Anklagetenor	Anklageschrift	
Die Gerichtspolizei nimmt jede Erhebung und Tätigkeit vor, die ihr von der Gerichtsbehörde angeordnet oder übertragen worden ist.	Erhebung	Ermittlung	Ermittlung	Ermittlung
Die von der Staatsanwaltschaft und von der Gerichtspolizei vorgenommenen Erhebungshandlungen, unterliegen so lange der Geheimhaltung bis der Angeklagte von ihnen Kenntnis erlangen darf und jedenfalls nicht über den Abschluß der Vorerhebungen hinaus.	Vorerhebungen	Ermittlungen	Ermittlungen	Ermittlungen
Die Gerichtspolizei nimmt weiters die Festnahme aus eigenem Betrieb vor, wenn in der Folge der Verdächtige individualisiert wird oder wenn besondere Umstände hinzukommen, welche die Gefahr, daß der Verdächtige zu fliehen im Begriff ist .	Verdächtiger,eines Verbrechens verdächtigte Person	Tatverdächtiger		Tatverdächtiger
Das Ansuchen um Strafverfolgung wird durch die verletzte Person in den für den Strafantrag vorgesehenen Formen gestellt.	Ansuchen um Strafverfolgung,Strafantrag	Verfolgungsantrag		
Der Strafantrag wird mittels einer Erklärung gestellt, in welcher persönlich oder durch einen besonders Bevollmächtigten der Wille geäußert wird, daß eine vom Gesetz als strafbare Handlung vorgesehene Tat verfolgt werden soll.	Ansuchen um Strafverfolgung,Strafantrag	Verfolgungsantrag		
Ladungen von Personen, die über den Sachverhalt Bescheid wissen	Person, die über den Sachverhalt Bescheid weiß	Auskunftsperson		Auskunftsperson
Beim Überqueren von Eisenbahn- oder Straßenbahnlinien muss der Fahrer den Schienenfahrzeugen Vorfahrt geben, sofern nichts anderes angezeigt ist.	Vorfahrt	Vorrang		Vortritt
Bei Erreichen des Rentenalters und der übrigen Voraussetzungen wird das ordentliche Invalidengeld von Amts wegen in eine Altersrente umgewandelt.	Invalidengeld,ordentliches Invalidengeld		Rente wegen teilweiser Erwerbsminderung,teilweise Erwerbsminderungsrente	Teilinvalidenrente
Die Versicherungskassen zahlen folgende Renten aus:  Bei Eintritt von Invalidität, durch welche die Arbeits- und Verdienstfähigkeit eingeschränkt wird, das Invalidengeld bzw. die Arbeitsunfähigkeitsrente.	Invalidengeld,ordentliches Invalidengeld		Rente wegen teilweiser Erwerbsminderung,teilweise Erwerbsminderungsrente	Teilinvalidenrente
Ein Fahrzeug dient der Vermietung ohne Fahrer, wenn sich der Vermieter gegen Entgelt verpflichtet, es dem Mieter für seine Bedürfnisse zur Verfügung zu stellen.	Vermietung ohne Fahrer	Vermietung des Fahrzeuges ohne Beistellung eines Lenkers	Mietwagen für Selbstfahrer	
Die Wahlwerberlisten jedes Wahlkreises sind mit einer Erklärung vorzulegen, die von nicht weniger als 400 und nicht mehr als 600 Wählern unterzeichnet sein muß, die im jeweiligen Wahlkreis für die Wahl des Regionalrates das Recht zur Stimmabgabe besitzen.	Kandidatenliste,Wahlwerberliste		Wahlvorschlagliste,Wahlvorschlagsliste	
Wer bei Fahrübungen als Fahrlehrer unterweist, muss den vorgeschriebenen Führerschein und, wenn es sich um den Fahrlehrer einer Fahrschule handelt, auch den Fahrlehrerschein  mitführen.	Fahrlehrer,Praxis-Fahrschullehrer,Praxisfahrlehrer	Fahrschullehrer		
Das Amt für zivile motorisierung stellt dem Führerscheinanwärter eine erlaubnis aus (Fahrübungsschein), mit welcher er mit den Fahrzeugen derselben Kategorie, für welche er den Führerschein erwerben möchte, das Fahren üben darf.	Führerscheinanwärter,Führerscheinbewerber	Bewerber um eine Lenkberechtigung	Berwerber um eine Fahrerlaubnis,Fahrerlaubnisbewerber	Bewerber um den Führerausweis
Der Unternehmer und der Arbeitnehmer sind gegenseitig verpflichtet, den Arbeitsversuch, der Gegenstand der Probeabmachung bildet, vornehmen zu lassen und vorzunehmen.	Probeabmachung		Probezeitklausel	Probezeitklausel
Inhaber einer provisorischen Fahrerlaubnis dürfen Fahrübungen auf Fahrzeugen jener Klassen machen, für die sie den Führerschein oder die Ausdehnung der Führerscheingültigkeit beantragt haben; .	Ausdehnung der Führerscheingültigkeit	Ausdehnung der Lenkberechtigung	Erweiterung der Fahrerlaubnis	
Verkehrsschilder werden in folgende Kategorien eingeteilt: A) Gefahrenzeichen , B) Vorschriftszeichen , C) Hinweiszeichen .	Verkehrsschild	vertikales Verkehrszeichen	vertikales Verkehrszeichen	
Gefahrenzeichen  kündigen Gefahren an, geben deren Art an und mahnen den Fahrer, sich vorsichtig zu verhalten.	Gefahrenzeichen			Gefahrensignal
Vorschriftszeichen  zeigen Gebote, Verbote und Einschränkungen an, an die sich die Verkehrsteilnehmer halten müssen, und werden eingeteilt in a) Vorfahrtszeichen, b) Verbotszeichen, c) Gebotszeichen .	Vorschriftszeichen			Vorschriftssignal
Hinweiszeichen  werden eingeteilt in: a) Vorankündigungszeichen, b) Richtungszeichen, c) Bestätigungszeichen, .	Hinweiszeichen		Richtzeichen	Hinweissignal
Die Bodenmarkierungen werden eingeteilt in: a) Längslinien, b) Querlinien, c) Fußgänger- oder Radfahrerüberwege, d) Richtungspfeile, .	Bodenmarkierung		Fahrbahnmarkierung	Markierung
Als Handwerksunternehmen gilt  ein Unternehmen, das  in Form einer Gesellschaft  gegründet und geführt wird, vorausgesetzt, daß die Mehrheit der Gesellschafter vorwiegend die eigene, auch manuelle Tätigkeit in den Produktionsprozeß einbringt.	manuelle Arbeit,manuelle Arbeitsleistung,manuelle Tätigkeit	körperliche Arbeit	körperliche Arbeit	
Arbeitnehmer ist, wer sich verpflichtet, gegen Entlohnung im Unternehmen durch eigene geistige oder manuelle Arbeitsleistung in Abhängigkeit vom Unternehmer und unter dessen Leitung mitzuarbeiten.	manuelle Arbeit,manuelle Arbeitsleistung,manuelle Tätigkeit	körperliche Arbeit	körperliche Arbeit	
Es ist grundlegend, dass der Speiseeishersteller oder die Speiseeisherstellerin den gesamten Verarbeitungsprozess von der Zubereitung der Grundmischung bis zur Anrührung ausführt und seine bzw. ihre manuelle Arbeit gegenüber dem technischen Prozess überwiegt.	manuelle Arbeit,manuelle Arbeitsleistung,manuelle Tätigkeit	körperliche Arbeit	körperliche Arbeit	
In der Regionalkommission für die Landarbeiter  werden der Vertreter des Ministeriums für Land- und Forstwirtschaft und der Vertreter der Entwicklungskörperschaften und -anstalten durch einen Vertreter der Provinz Trient und einen Vertreter der Provinz Bozen ersetzt.	Landarbeiter	Land- und Forstarbeiter	landwirtschaftlicher Arbeitnehmer	landwirtschaftlicher Arbeitnehmer
Die zeitweilige Dienstenthebung besteht in der Entfernung vom Dienst und im Entzug des Gehalts für nicht mehr als ein und nicht mehr als sechs Monate.	zeitweilige Dienstenthebung,zeitweilige Enthebung vom Dienst	vorläufige Dienstenthebung,vorläufige Suspendierung	vorläufige Dienstenthebung	vorläufige Dienstenthebung
Die zeitweilige Enthebung vom Dienst hat die Entfernung vom Dienst und die Streichung des Gehaltes für nicht weniger als einen Monat und nicht mehr als sechs Monate zur Folge.	zeitweilige Dienstenthebung,zeitweilige Enthebung vom Dienst	vorläufige Dienstenthebung,vorläufige Suspendierung	vorläufige Dienstenthebung	vorläufige Dienstenthebung
Einer der Stimmzähler übernimmt die Aufgaben des Schriftführers des Sonderwahlamtes.	Stimmenzähler,Stimmzähler		Beisitzer	
In jedem Sprengel wird eine Wahlbehörde gebildet, die aus einem Vorsitzenden, vier Stimmenzählern und einem Schriftführer zusammengesetzt ist.	Stimmenzähler,Stimmzähler		Beisitzer	
Der Dienst für Basismedizin erbringt durch die Sprengel folgende Leistungen: k) stationäre Betreuung von älteren Menschen und Behinderten l) Gesundheitsförderung und Gesundheitserziehung.	stationäre Betreuung	stationäre Pflege	stationäre Pflege	
Für Angehörige der evangelischen Kirchen AB und HB, der Altkatholischen Kirche und der Evangelisch-methodistischen Kirche ist auch der Karfreitag ein Feiertag.	Feiertag,Feiertag, der auf einen Werktag fällt	gesetzlicher Feiertag		gesetzlicher Feiertag
Wenn der Bereitschaftsdienst auf einen Feiertag fällt, so hat der Bedienstete das Recht auf einen Ausgleichsruhetag, ohne dass dadurch die Wochenpflichtstunden reduziert werden.	Ausgleichsruhetag	Ersatzruhe,Ersatzruhetag	Ersatzruhetag	Ersatzruhe,Ersatzruhetag
Bei Stimmengleichheit gewinnt die Wahl, wer mit der meistgewählten Liste oder Listengruppierung verbunden ist (höchste Wahlziffer).	Listengruppierung		Listenverbindung	Listenverbindung
Alle Privatrechtssubjekte, die mit Verwaltungstätigkeiten betraut sind, gewährleisten die Beachtung der Kriterien und Grundsätze  auf einem Niveau, das nicht niedriger ist als jenes, zu dem die öffentlichen Verwaltungen auf Grund dieses Gesetzes Nr. 241/1990 verpflichtet sind.	Privatrechtssubjekt,privater Rechtsträger,privates Rechtssubjekt,privatrechtliches Rechtssubjekt			Rechtsträger des Privatrechts
Bei Ablauf des Vertrages wird dem Arbeitnehmer eine Prämie aus Anlaß der Beendigung der Arbeit bezahlt, die im Verhältnis zur Dauer des Vertrages bestimmt wird und der in den Kollektivverträgen vorgesehenen Abfertigung entspricht.	Abfertigung		Abfindung	
Die vom Wahlwerber bei Erklärung der Annahme der Kandidatur angegebene Sprachgruppenzugehörigkeit muß der Erklärung entsprechen, die er im Sinne des Artikels 18 des Dekrets des Präsidenten der Republik vom 26. Juli 1976, Nr. 752  abgegeben hat.	Kandidat,Wahlwerber		Wahlbewerber	
Ein gerichtlicher Vergleich kann auch dadurch geschlossen werden, dass die Parteien dem Gericht einen schriftlichen Vergleichsvorschlag unterbreiten oder einen schriftlichen Vergleichsvorschlag des Gerichts durch Schriftsatz gegenüber dem Gericht annehmen.	gerichtliche Schlichtung,gerichtlicher Vergleich	Prozessvergleich	Prozessvergleich	
Arbeitgeber können bisher illegal beschäftigte Arbeitnehmer aus Nicht-EU-Ländern legalisieren lassen.	Arbeitnehmer aus Nicht-EU-Ländern	Arbeitnehmer aus einem Nicht-EU-Staat	ausländischer Arbeitnehmer	
Der Erstattungsbetrag darf die Kosten des abgestellten Arbeitnehmers nicht überschreiten; dem abstellenden Arbeitgeber darf aus der Abtretung kein Gewinn erwachsen, da dies eine unrechtmäßige und unzulässige Form von Leiharbeit darstellen würde.	abgestellter Arbeitnehmer	entsandter Arbeitnehmer	entsandter Arbeitnehmer	entsandter Arbeitnehmer
Die Ärzte für Allgemeinmedizin sind verpflichtet ihre Tätigkeit in direkter Betreuungsform nur gegenüber den Betreuten auszuüben, die sie vorher gewählt haben.	Allgemeinmediziner,Arzt für Allgemeinmedizin,Hausarzt,Vertrauensarzt		Allgemeinarzt	
Im Jahr 2018 hatten 508.127 Betreuungsberechtigte ihren Allgemeinmediziner und Kinderarzt freier Wahl gewählt; davon wurden 441.198 von den Allgemeinmedizinern betreut, 66.929 von den Kinderärzten freier Wahl.	Allgemeinmediziner,Arzt für Allgemeinmedizin,Hausarzt,Vertrauensarzt		Allgemeinarzt	
Wo kein Dienst für Betreuungskontinuität, der von den vertragsgebunden Ärztinnen und Ärzten  angeboten wird, eingerichtet ist, sichert der SB Sanitätsbetrieb der Autonomen Provinz Bozen die BK  Betreuungskontinuität mittels der VGM vernetzte Gruppenmedizin.	Dienst für Betreuungskontinuität,ärztlicher Bereitschaftsdienst	ärztlicher Notdienst	ärztlicher Notdienst	
Durch die Eintragung eines privaten Gewässers in das Verzeichnis der öffentlichen Gewässer erwerben die ehemaligen Eigentümer des Gewässers darin das Eigenfischereirecht.	privates Gewässer	Privatgewässer	Privatgewässer	
Nicht protokollierungspflichtig sind Gesetzesanzeiger, Amtsblätter, Nachrichtenblätter der öffentlichen Verwaltung, Zeitungen, Zeitschriften, Bücher, Broschüren, Informations- und Werbematerial, Einladungen zu Veranstaltungen, Entwürfe von Dokumenten, statistisches Material, vertrauliche Korrespondenz sowie getrennt registrierte Dokumente (wie beispielsweise Beschlüsse und Dekrete).	Amtsblatt			Amtliches Bulletin
Die Person arbeitet an festen Produktionsanlagen, an Maschinen, am Fließband oder fährt Kraftfahrzeuge.	Fließband			Fliessband
Die Treuepflicht  bürdet dem Beschäftigten zwei Verbote auf; es sind dies ein Wettbewerbsverbot und die Wahrung des Betriebsgeheimnisses .	Wahrung des Betriebsgeheimnisses	Geheimhaltungspflicht,Verschwiegenheitspflicht	Geheimhaltungspflicht,Verschwiegenheitspflicht	Geheimhaltungspflicht,Verschwiegenheitspflicht
Hier tritt der Art. 36 der ital.Verfassung in Kraft, der besagt, dass der Arbeitnehmer jedenfalls Anspruch auf eine angemessene Entlohnung hat um sich und seiner Familie eine freie und würdige Existenz zu gewährleisten.	angemessene Entlohnung	Angemessenheit der Vergütung,angemessene Vergütung	Angemessenheit der Vergütung,angemessene Vergütung	
Man unterscheidet zwischen Zeit- und Stückakkord, gemischten oder vollen.	Stückakkord	Geldakkord	Geldakkord	
Nichtig sind die Stimmen der Wahlzettel,  die derartige Eintragungen oder Zeichen enthalten, daß man in unanfechtbarer Weise annehmen muß, der Wähler habe seine Stimmabgabe erkennen lassen wollen .	Stimmzettel,Wahlzettel	amtlicher Stimmzettel	amtlicher Stimmzettel	
Es werden folgende Zweckbestimmung für Bauwerke oder Teile davon unterschieden: Wohnen, Dienstleistung, Einzelhandel, gastgewerbliche Tätigkeit, öffentliche Dienste und Einrichtungen von öffentlichem Interesse, Handwerkstätigkeit, Industrie, Großhandel und Einzelhandel , landwirtschaftliche Tätigkeit.	Zweckbestimmung	Zweckwidmung		
Dies schließt Informationen aus, die als Teil eines Rundfunkdienstes über ein elektronisches Kommunikationsnetz an die Öffentlichkeit weitergeleitet werden, soweit die Informationen nicht mit einem bestimmten oder bestimmbaren Teilnehmer oder Nutzer, der sie erhält, in Verbindung gebracht werden können, .	Teilnehmer,Vertragnehmer			Kunde
Zur Personenbeförderung im Mietfahrzeug mit Fahrer dürfen folgende Fahrzeuge bestimmt werden: a) Krafträder mit oder ohne Beiwagen, b) dreirädrige Kraftfahrzeuge, d) Personenkraftwagen, e) Kraftomnibusse, f) Kombinationskraftwagen oder Kraftwagen zur spezifischen Personenbeförderung, g) Gespannfuhrwerke.	Mietfahrzeug mit Fahrer		Mietwagen mit Fahrer,Mietwagenverkehr,Verkehr mit Mietwagen	
Sofern keine schwerere Straftat vorliegt, wird Trunkenheit am Steuer folgendermaßen geahndet: a) mit einer verwaltungsrechtlichen Geldbuße zwischen 531 und 2.125 Euro, wenn ein Wert ermittelt wird, der einem Alkoholgehalt über 0,5 und höchstens 0,8 Gramm pro Liter (g/l) entspricht.	Alkoholgehalt	BAK,Blutalkoholgehalt,Blutalkoholkonzentration	BAK,Blutalkoholgehalt,Blutalkoholkonzentration	BAK,Blutalkoholgehalt,Blutalkoholkonzentration
Trunkenheit am Steuer bei Fahrern unter 21 Jahren, bei Führerscheinneulingen und bei Berufskraftfahrern im Personen- oder Güterkraftverkehr	Führerscheinneuling	Fahranfänger	Fahranfänger	Neulenker
Bei der Bewertung des Kreditrisikos greifen die Banken auf exerne Rating-Agenturen zurück .	Kreditrisiko		Bonitätsrisiko	
Es dürfen nur Anteile einer Investmentgesellschaft oder Anteile eines anderen Kapitalanlagefonds erworben werden, sofern die Anteile öffentlich, ohne eine Begrenzung der Zahl der Anteile angeboten werden und die Anteilinhaber das Recht zur Rückgabe der Anteile haben.	Investmentgesellschaft	Wertpapierfirma		
Wer eine kontrollierende Beteiligung erlangt, ohne dies durch zeitnahe Handlungen, wie insbesondere durch Anteilserwerb bewirkt zu haben, muss kein Angebot legen, wenn er beim Erwerb der Anteile nicht mit der Kontrollerlangung rechnen musste.	Anteilserwerb		Wertpapiererwerb	Kauf der Anteile
Ein unabhängiger Verwalter darf  keine geschäftsführenden Tätigkeiten wahrnehmen, d.h. beispielsweise nicht in einem gegebenenfalls vorhandenen Vollzugsausschuss vertreten sein bzw. Befugnisse oder Beauftragungen wahrnehmen, welche – auch nur am Rande – mit der Geschäftsführung der Bank im Zusammenhang stehen.	unabhängiger Verwalter		unabhängiges Vorstandsmitglied	
Für die erste Zusammensetzung des Senates der Republik werden mit Dekret des Präsidenten der Republik die Abgeordneten der Verfassunggebenden Versammlung zu Senatoren ernannt, welche die gesetzlichen Voraussetzungen, um Senatoren sein zu können, besitzen .	verfassunggebende Versammlung	Konstituierende Nationalversammlung	Verfassungskonvent	Verfassungskommission
Die Partei, welche im Laufe des Verfahrens keinen Einwand erhebt, dass die Schlussanträge der anderen Parteien den Rahmen der Schiedsvereinbarung überschreiten, darf aus diesem Grund den Schiedsspruch nicht anfechten.	Schiedsvereinbarung			Schiedsabrede
Die Gesetze der Verfassungsrevision und die anderen Verfassungsgesetze werden von jeder Kammer durch zwei mit einer Zwischenzeit von mindestens drei Monaten gefaßten Entschließungen angenommen und mit absoluter Mehrheit der Mietglieder beider Kammern bei der zweiten Abstimmung genehmigt.	Gesetz der Verfassungsrevision	Verfassungsgesetznovelle	Gesetz zur Änderung der Verfassung	
Die örtliche Unzuständigkeit kann, außer in den Fällen des Artikels 28, nur in der Klagebeantwortung oder allgemein in der ersten Verteidigungshandlung im Verfahren erster Instanz eingewendet werden.	Verteidigungshandlung,Verteidigungsschrift,Verteidigungsvorbringen	Gegenvorbringen	Gegenvorbringen,Verteidigungsmittel	
Wenn die Gerichtsbarkeit aufgrund des Artikels 3 nicht vorliegt, so ist sie trotzdem gegeben,  wenn der Beklagte sich in das Verfahren einläßt, ohne im ersten Verteidigungsvorbringen das Fehlen der Gerichtsbarkeit einzuwenden.	Verteidigungshandlung,Verteidigungsschrift,Verteidigungsvorbringen	Gegenvorbringen	Gegenvorbringen,Verteidigungsmittel	
Im Fall unbedingter Dringlichkeit kann die Zivilklage im Interesse des Geschädigten, der wegen Geisteskrankheit unfähig oder minderjährig ist, von der Staatsanwaltschaft erhoben werden .	Geisteskrankheit		Bewusstseinstörung,krankhaft seelische Störung	
Der Vorsitzende kann kraft der ihm durch § 254 eingeräumten diskretionären Gewalt die Ladung und Vernehmung von Personen verfügen, deren Ladung nicht oder nicht rechtzeitig von den Parteien beantragt wurde.	Ladung	Vorladung		Vorladung,Zitation
Die Mitglieder des Vorstands können nicht zu Mitgliedern des Aufsichtsrat bestellt werden .	Mitglied des Aufsichtsrats	Aufsichtsratsmitglied	Aufsichtsratsmitglied	Aufsichtsratsmitglied
Der Schutz der Wohnung umfasst die räumliche Ausprägung des Privatlebens. Er setzt Hausdurchsuchungen, Überwachungsmassnahmen oder anderen behördlichen Kontrollen Schranken.	Schutz der Wohnung	Schutz des Hausrechts		
Die Verurteilung zur Tragung der Kosten ist sofort vollstreckbar.	Auferlegung der Kosten,Verurteilung zur Tragung der Kosten	Kostenauferlegung		Kostenauferlegung
Jedes Unternehmen  meldet der zuständigen Präfektur jede Änderung in den Eigentumsverhältnissen und bei den Gesellschaftsorganen innerhalb von 30 Tagen ab Eintreten dieser Änderung. An geregelten Märkten notierte Kapitalgesellschaften melden die relevanten Änderungen, .	geregelter Markt		regulierter Markt	
Bei der Einbürgerung erwirbt man die Staatsbürgerschaft durch eine Verwaltungsmaßnahme.	Einbürgerung		Naturalisation	
Bezeichnung 1) Banca Popolare dell’Alto Adige Società cooperativa per azioni (in deutscher Sprache: Südtiroler Volksbank Genossenschaft auf Aktien) ist gegründet. 2) Die Gesellschaft ist durch diese Satzung und durch die gesetzlichen Bestimmungen geregelt.	Volksbank		Genossenschaftsbank	
Stellt der Gegner des Säumigen keinen Antrag auf Erlassung eines Versäumungsurteils, weil trotz Säumnis einer Partei auf neues tatsächliches Vorbringen Bedacht genommen werden soll, so ist dieses der säumigen Partei zur Kenntnis zu bringen.	Säumnis	Versäumnis,Versäumung	Versäumnis	
Die Stiftung fördert die Forschung und Innovation aus den Nettoerträgen des Stiftungskapitals und durch direkte Beteiligung am Risikokapital einer von mehreren Unternehmen und/oder einem lokalen Beteiligungsfonds zum Zweck der Entwicklung und Vermarktung innovativer Produkte oder Dienstleistungen gegründeten Gesellschaft.	Risikokapital,Wagniskapital	VC,Venture-Capital	VC,Venture-Capital	Venture-Capital
Die Übertragung von Beteiligungen wird der Gesellschaft gegenüber zu jenem Zeitpunkt wirksam, an dem sie  in das Gesellschafterbuch eingetragen wird.	Übertragung von Beteiligungen	Veräußerung von Beteiligungen	Veräußerung von Anteilen	
Kann das Gericht auch nicht mit Hilfe der Parteien das bezeichnete ausländische Recht feststellen, so wendet es jenes Recht an, auf das über andere Anknüpfungskriterien verwiesen wird, wenn solche für denselben Tatbestand vorgesehen sind.	Anknüpfungskriterium	Anknüpfungsmerkmal,Anknüpfungsmoment,Anknüpfungspunkt	Anknüpfungsmerkmal,Anknüpfungsmoment,Anknüpfungspunkt	Anknüpfungspunkt
Bestimmt der Gründungsvertrag nichts anderes, sind für die Bestellung der Geschäftsführer und für ihre Abberufung  die Einwilligung der Komplementäre und die Genehmigung durch soviele Kommanditisten, daß sie die Mehrheit des von den Kommanditisten gezeichneten Kapitals vertreten, erforderlich.	Bestellung des Geschäftsführers		Berufung des Geschäftsführers	
Die vorzugsweise Befriedigung gilt auch zugunsten der Zinsen für das im Zeitpunkt der Pfändung oder, wenn eine solche nicht erfolgt, im Zeitpunkt der Zustellung der Leistungsaufforderung laufende Jahr.	Leistungsaufforderung	Zahlungsbefehl		Zahlungsbefehl
Der Rekurs auf Einrichtung der Sachwalterschaft kann von der begünstigten Person selbst, auch wenn sie minderjährig, voll oder beschränkt entmündigt ist,  erhoben werden.	Sachwalterschaft	gerichtliche Erwachsenenvertretung	rechtliche Betreuung	Beistandschaft
Die Vergütung für den Verwahrer wird mit Dekret des Bezirksgerichts, wenn die Bestellung durch den Gerichtsvollzieher erfolgt ist, und in jedem anderen Fall durch das Gericht, das ihn bestellt hat, festgesetzt.	Verwahrer	gerichtlicher Verwahrer		
Jeder Elternteil kann jederzeit die Betrauung mit der alleinigen Obsorge beantragen, wenn die im ersten Absatz ZGB Art. 337 quater genannten Voraussetzungen vorliegen.	alleinige Obsorge		Alleinsorge,alleiniges Sorgerecht	alleinige elterliche Sorge,alleiniges Sorgerecht
In Südtirol leben über 50.000 Kinder und Eltern in einer Einelternfamilie.	Einelternfamilie	Ein-Eltern-Familie,Einzelelternfamilie	Ein-Eltern-Familie	
Auch das Privatrecht beschäftigt sich mit dem Schutz der Persönlichkeitsrechte, und zwar, abgesehen von einigen besonderen Bundesgesetzen, vor allem das ZGB mit Einschluss des OR.	Persönlichkeitsrecht			Individualrecht
Vorfahren, Nachkommen und der Ehegatte, die in den einstweiligen Besitz des Vermögens eingewiesen worden sind, können die gesamten Erträgnisse zu ihrem Nutzen einbehalten.	Ehegatte,Ehegattin	Gatte,Gattin		
Gegen die Entscheidungen des Staatsrates und des Obersten Rechnungshofes ist die Berufung an den Kassationsgerichtshof nur aus Gründen, welche die Rechtsprechungsgewalt betreffen, zulässig.	Berufung an den Kassationsgerichtshof,Kassationsbeschwerde	Revision	Revision	Beschwerde in Zivilsachen
