context	tgt_term_gold	tgt_term_homonym
Es müsse verhindert werden, dass der Schadstoff durch die Kamine von Kehrichtverbrennungsanlagen austrete und über die Luft auf Böden und in Gewässer und damit in die Nahrungskette gelange.	Nahrungskette	Lebensmittelkette
Es müssen geeignete Stützgerüste und Vorsichtsmaßnahmen bei Untermauerungen angewandt werden und falls sich in der Nähe der Aushubarbeiten Fabriken oder Bauwerke befinden, bei denen die Fundament durch die Aushubarbeiten freigelegt oder geschwächt werden können.	Aushubarbeit	Baugrube
Es verbleibt  die Notwendigkeit des Umsteigens oder Umladens an der Grundstücksgrenze unter Inanspruchnahme des Zugangsrechts über das Grundstück der Beklagten.	Zugangsrecht	Zufahrt,Zugang,Zugangsöffnung,Zutritt
Es werden nur Ausgabenposten anerkannt, die in direktem Zusammenhang mit der Durchführung der Landesmeisterschaft des Handwerks und der Gastronomie stehen. Folgende Ausgabenposten sind zulässig:  - Preise für Schülerwettbewerbe, die im Rahmen der Veranstaltung stattfinden .	Preis	Prämie,Versicherungsprämie
Es wird  empfohlen jedem Lichtpunkt eine eindeutige Identifizierungsnummer zuzuweisen und jeden Lichtpunkt mit dieser Nummer zu versehen.	Identifizierungsnummer	Benutzerkennung
Fallen Versicherungsnehmer und Anspruchsinhaber auseinander, so spricht man von von einer Versicherung für fremde Rechnung	Versicherungsnehmer	Partei,Teilnehmer,Vertragspartei
Falls sich aus den ärztlichen Untersuchungen an Arbeitnehmern, die in vergleichbarem Maß einen gleichen Arbeitsstoff ausgesetzt sind, eine Anomalie gibt, welche auf diese Exposition zurückgeführt werden kann, so verständigt der Betriebsarzt den Arbeitgeber.	Arbeitsstoff	Agent,Forstwart,Täter
Fehlen die Grenzzeichen zwischen aneinander grenzenden Grundstücken oder sind sie unkenntlich geworden, hat jeder der Egientümer das Recht zu verlangen, daß sie auf gemeinsame Kosten angebracht oder wieder eingesetzt werden .	Grenzzeichen	Befristung,Frist,Termin,Verfahrensfrist
Fehlt dem Verein eines der vorgeschriebenen Organe oder das Mitgliederverzeichnis  oder verfügt er über kein Rechtsdomizil an seinem Sitz mehr, so kann ein Mitglied oder ein Gläubiger dem Gericht beantragen, die erforderlichen Massnahmen zu ergreifen.	Massnahme	Verfügung,Verwaltungsverfügung
Fehlt einem Vermögen die nötige Verwaltung, so hat die Vormundschaftsbehörde das Erforderliche anzuordnen und namentlich in folgenden Fällen einen Beistand zu ernennen:  bei Ungewissheit der Erbfolge und zur Wahrung der Interessen des Kindes vor der Geburt.	Erbfolge	Rechtsnachfolge
Findet das Revisionsgericht das Urtheil oder Verfahren wegen einer schon in erster Instanz unterlaufenen, von amtswegen wahrzunehmenden Nichtigkeit aufzuheben, so hat die Zurückweisung der Sache an die erste Instanz zu erfolgen (§. 478 Absatz 2 und 3).	Sache	Rechtsgrund,Rechtsstreit
Flure und Treppen sind an beiden Seiten mit festen Handläufen zu versehen.	Treppe	Leiter,Treppenhaus,Treppenraum
Folgende Begehren sind innerhalb der Einsprachefrist von 30 Tagen geltend zu machen: a. Einsprachen gegen die Enteignung;  e. die geforderte Enteignungsentschädigung.	Enteignungsentschädigung	Entschädigung
Form und Farbe der Zeichen sind - in Abhängigkeit vom jeweiligen Zweck (Verbotszeichen, Warnzeichen, Gebotszeichen, Erste-Hilfe- oder Rettungszeichen und Hinweiszeichen auf Material oder Ausrüstungen zur Brandbekämpfung) gesetzlich definiert.	Gebotszeichen	Vorschriftszeichen
Freiheitsstrafen werden auf Lebensdauer oder auf bestimmte Zeit verhängt. Die zeitliche Freiheitsstrafe beträgt mindestens einen Tag und höchstens zwanzig Jahre.	Freiheitsstrafe	Anhalten,Anhaltung,Festnahme,Verhaftung
Fremde, die der Meldepflicht unterliegen und im Bundesgebiet einer Erwerbstätigkeit nachgehen, deren Ausübung an eine behördliche Erlaubnis gebunden ist, sind ungeachtet einer  bestehenden Meldepflicht auch bei der Meldebehörde an- und abzumelden.	behördliche Erlaubnis	Ermächtigung,Fahrschulbewilligung,Genehmigung
Friaul - Julisch Venetien, Sardinien, Sizilien, Trentino - Alto Adige/Südtirol und Aostatal/Vallèe d‘Aoste verfügen über besondere Formen und Arten der Autonomie gemäß Sonderstatuten, die mit Verfassungsgesetz genehmigt werden.	Autonomie	normative Selbstverwaltung
Frösche und Kröten sind wichtige Glieder in der natürlichen Nahrungskette von Gewässerökosystemen.	Nahrungskette	Lebensmittelkette
Fund und Schatzfund wurden durch die SPG-Novelle 2002  neu geregelt.	Fund	Erfindung
Für DV und DL sind die grössten in der SN EN 50110-1 (ESTI-Weisung Nr. 407) spezifizierten Distanzen zu wählen.	DL	Bauleiter
Für Erfindungen, die neu sind , sich für den Fachmann nicht in naheliegender Weise aus dem Stand der Technik ergeben und gewerblich anwendbar sind, werden auf Antrag Patente erteilt.	Erfindung	Fund
Für Reisende, die nicht in einem Endemiegebiet leben, aber ein Endemie- oder Ausbruchsgebiet bereisen, kann nicht mit ausreichendem Impfschutz, mehr als 10 Jahre nach Gelbfiebererstimpfung gerechnet werden.	Ausbruchsgebiet	Ausbruch
Für Tiere, die der natürlichen Nahrungskette unterliegen, ist ein Sichtschutz erforderlich.	Nahrungskette	Lebensmittelkette
Für Verbindlichkeiten, die durch die den Verein vertretenden Personen eingegangen worden sind, können sich Dritte wegen ihrer Ansprüche an das gemeinschaftliche Vermögen halten.	Verbindlichkeit	Schuldverschreibung
Für alle Hauptverhandlungen gilt die Öffentlichkeitsmaxime, auch für die Hauptverhandlung vor dem Revisionsgericht  nicht auch für andere gerichtliche Verhandlungen .	Öffentlichkeitsmaxime	Öffentlichkeitsprinzip
Für auswärtige Fahrzeuge, die schon mit neuen Fahrzeugpapieren ausgestattet sind, können nur noch Dienstleistungen erbracht werden, wenn die Zulassungsbescheinigung komplett (al­so Teil I und Teil II) vorgelegt wird. Ersatzbescheinigungen können nur die kennzeichenführenden Zulassungsbehörden ausstellen.	Zulassungsbescheinigung	Sparbuch
Für das Leasing ist typisch, dass der Leasinggeber den Leasinggegenstand vom Verkäufer erwirbt und ihn sodann im Rahmen des Leasingvertrages dem Leasingnehmer überlässt.	Leasinggeber	Hersteller
Für die Abberufung eines Ersatzmitglieds gelten die Vorschriften über die Abberufung des Aufsichtsratsmitglieds, für das es bestellt ist.	Abberufung	Widerruf
Für die Organisation der Gerichte und die Rechtsprechung in Zivilsachen sind die Kantone zuständig, soweit das Gesetz nichts anderes vorsieht.	Gericht	Richter
Für die Zulassung zur Teilnahme des elektronischen Meldeverfahrens sind folgende Schritte erforderlich:  2. Erhalt einer individuellen Kennung und eines individuellen Passworts; Kennung und Passwort sind für alle folgenden Mitteilungen zu verwenden und dürfen nicht weitergegeben werden; .	Kennung	Identifikationsnummer,Identifizierungsnummer,Kennnummer,Kennziffer
Für die Zulassung zu den verschiedenen Gattungen und Stufen der Schulen, für den Abschluß derselben und für die Befähigung zur Berufsausübung ist eine Staatsprüfung vorgeschrieben.	Staatsprüfung	staatliche Abschlussprüfung
Für die Zuteilung von Landtagssitzen ist ein Mindestanteil von fünf vom Hundert der im Land für alle Wahlvorschlagslisten abgegebenen gültigen Stimmen erforderlich.	Wahlvorschlagsliste	Verzeichnis der Wahlberechtigten,Wählerverzeichnis
Für die  vorgesehene Abordnung gilt die Regelung des Landes für die Abordnung von Landespersonal zu anderen öffentlichen Verwaltungen.	Abordnung	Gebot
Für die bloße Beteiligung an dem bewaffneten Haufen ist die Strafe Gefängnisstrafe von drei bis zu neun Jahren.	bewaffneter Haufen	Querbalken
Für die von einem der Teilhaber eingeräumten Hypotheken sind die im 4. Abschnitt des 3. Titels des 6. Buches enthaltenen Bestimmungen zu beachten.	Abschnitt	Anführer
Für diese fiduziarische Treuhand sei charakteristisch, daß der Treuhänder nach außen hin (also Dritten gegenüber) als Vollberechtigter auftrete, im Innenverhältnis hingegen dem Treugeber obligatorisch verpflichtet sei, sein Eigentumsrecht im Interesse des Treugebers auszuüben.	fiduziarische Treuhand	Vertrauen
Für jedes Unternehmen wird eine entsprechend eindeutige Kennziffer vergeben und die Stammmerkmale der Einheit den jeweiligen konstitutiven Quellregistern entnommen, wobei hierfür eine Rangordnung dieser Register angewendet wird.	Kennziffer	Benutzerkennung,Kennung
Gebraucht der Täter in der Folge die von ihm gefälschte Urkunde selbst im Rechtsverkehr, so haftet er nur nach § 223 Abs 2 StGB; die Fälschung stellt insoweit eine straflose, weil nachbestrafte Vortat dar.	Fälschung	falsch
Gegen den Verurteilten ist die Einziehung der Sachen zwingend anzuordnen, die zur Begehung der Straftat dienten oder dafür bestimmt waren sowie der Sachen, die den Lohn, das Ergebnis oder den Ertrag der Straftat bilden oder die deren Verwendung darstellen.	Ertrag	Vorteil
Gegen eine analoge Anwendung der Rechtsprechung zum Fruchtgenussrecht auf Grunddienstbarkeiten spreche, dass eine Grunddienstbarkeit gerade kein allgemeines Verwertungsrecht beinhalte. Sie sei hinsichtlich der Ausübung an einen Nutzen für das herrschende Grundstück gebunden.	Nutzen	Vorteil
Gegenstand des Beweises sind rechtserhebliche, streitige Tatsachen. Beweisgegenstand können auch Übung, Ortsgebrauch und, bei vermögensrechtlichen Streitigkeiten, ausländisches Recht sein.	ausländisch	Ausländer
Gegenstände, wie Brillenfassungen, Augenschirme oder Kämme, aus leicht entzündlichen oder leicht brennbaren Kunststoffen, wie Zelluloid, dürfen bei Arbeiten, bei denen sie in Brand geraten können, nicht getragen werden.	Brand	Brandstiftung
Gehörschutz ist so auszuwählen, dass die Leistungswerte den erforderlichen Schutz bieten, aber nach Möglichkeit eine akustische Isolation vermieden wird.	Gehörschutz	Schutz des Gehörs
Gelingt die Versöhnung nicht, sind im Protokoll die Einwilligung der Ehegatten in die Ehetrennung und die sie selbst und die Kinder betreffenden Abmachungen zu beurkunden.	Versöhnung	gerichtlicher Vergleich
Gemäss dem Polizeirapport stand der Versicherte vor dem Absturz auf der zweitobersten Leiterstufe bzw. 241 cm über dem Betonboden.	Leiterstufe	Stufe,Treppenstufe
Gemäß Art. 33 der Verfassung ist die Universität autonom. Sie besitzt im Rahmen der Universitätsordnung Rechtspersönlichkeit sowie Autonomie in Lehre, Forschung, Organisation, Verwaltung und disziplinarischen Belangen.	Autonomie in Lehre	didaktische Autonomie
Gemäß  Artenschutzverordnung, Anlage 2, seien Zwergdeckelschnecken gänzlich geschützt. Diese seien daher auch in der roten Liste der gefährdeten Tierarten als vom Aussterben bedroht ausgewiesen. Jede Tötung, Störung oder sonstige Beeinträchtigung sei daher absolut verboten.	Aussterben	Erlöschen
Gemäß staatlicher gesetzlicher Verfügung (D.P.R. 309/90) haben die D.f.A. Dienste für Abhängigkeitserkrankungen eine zentrale Bedeutung im Hilfs- und Versorgungssystem: Ihnen fallen Prävention, Behandlung und Rehabilitation der Suchtpathologien zu.	Rehabilitation	Abfallverwertung,Bergung,Verwertung
Gewohnheitsrecht darf nicht zu Lasten des Täters angewendet werden; jedoch können gewohnheitsrechtliche oder durch Richterrecht übergesetzliche Rechtfertigungs- und Schuldausschließungsgründe entwickelt werden .	Gewohnheitsrecht	Gewohnheit
Grundstücke im Sinne dieses Gesetzes sind: 1. die Liegenschaften; 2. die in das Grundbuch aufgenommenen selbständigen und dauernden Rechte; 3. die Bergwerke; 4. die Miteigentumsanteile an Grundstücken.	Grundstück	Fonds
Grundsätzlich kann jeder Träger öffentlicher Gewalt zum Erlass von Verwaltungsverfügungen ermächtigt sein.	Verwaltungsverfügung	Massnahme
Haben der Geklagte und der Kläger einen gleichen Titel ihres echten Besitzes, so gebühret dem Geklagten kraft des Besitzes der Vorzug.	Vorzug	Vorrang
Haben die Parteien den Bewegungsgrund, oder den Endzweck ihrer Einwilligung ausdrücklich zur Bedingung gemacht; so wird der Bewegungsgrund oder Endzweck wie eine andere Bedingung angesehen.	Bewegungsgrund	Beweggrund
Handelsangestellte sind Personen, die im Geschäftsbetrieb eines Kaufmanns vorwiegend zur Leistung kaufmännischer Dienste (Handlungsgehilfen) oder höherer nichtkaufmännischer Dienste oder zu Kanzleiarbeiten angestellt ist, sofern das Dienstverhältnis die Erwerbstätigkeit des Angestellten hauptsächlich in Anspruch nimmt.	Handlungsgehilfe	Verrichtungsgehilfe
Handelsübliche Korrektionsbrillen haben keine Schutzwirkung. Deshalb muss der Unternehmer auch fehlsichtigen Versichertengeeigneten Augenschutz zur Verfügung stellen.	Augenschutz	Schutz der Augen
Handelt es sich um das Verfahren betreffende Akten, wird, sofern diese durchführbar und wirksam sind, das Zugangsrecht auch während des Verfahrens gegenüber der Organisationseinheit ausgeübt, die zuständig ist, den abschließenden Akt zu erlassen oder ständig aufzubewahren.	Zugangsrecht	Recht auf Zugang,Recht auf Zugang zu den Verwaltungsunterlagen,Zugangsrecht zu den Verwaltungsunterlagen,Zutrittsrecht
Handelt es sich um verfahrensbezogene Akte, ist immer der Direktor verantwortlich, der zuständig ist, den abschließenden Akt zu erlassen oder diesen ständig aufzubewahren, oder der von ihm beauftragte Beamte, und zwar vorbehaltlich dessen, was Artikel 1 Absatz 4 bestimmt.	verfahrensbezogener Akt	Verfahrensakt,Verfahrenshandlung
Handlung im Affekt (sog. „Kurzschlusshandlung“): die kurzschlüssige, direkte Umsetzung primitiv triebha fter, stark gefühlsbetonter Strebungen in die Tat, bei der eine denkende und willentliche Verarbeitung erschwert oder gar nicht möglich ist.	willentlich	Freiwilliger,freiwillig,gewollt
Handlungen, die mit Duldung einer anderen Person vorgenommen worden sind, können nicht als Grundlage für den Besitzerwerb dienen.	Duldung	Toleranz
Hat der Antragende für die Annahme des Antrags eine Frist bestimmt, so kann die Annahme nur innerhalb der Frist erfolgen.	Frist	Grenzzeichen,Verfahrensfrist,prozessuale Frist
Hat der Erblasser für den wegfallenden Abkömmling einen Ersatzerben eingesetzt, so ist im Zweifel anzunehmen, daß dieser nicht mehr erhalten soll, als der Abkömmling unter Berücksichtigung der Ausgleichungspflicht erhalten würde.	Ersatzerbe	Nacherbe
Hat die zu bevormundende Person oder deren Vater oder Mutter jemand als den Vormund ihres Vertrauens bezeichnet, so soll dieser Bezeichnung, wenn nicht wichtige Gründe dagegen sprechen, Folge geleistet werden.	Vertrauen	Treuhandgeschäft
Hat sich eine Vertragspartei vertraglich den Rücktritt vorbehalten oder steht ihr ein gesetzliches Rücktrittsrecht zu, so sind im Falle des Rücktritts die empfangenen Leistungen zurückzugewähren und die gezogenen Nutzungen herauszugeben.	Vertragspartei	Teilnehmer,Versicherungsnehmer
"Heute setzt sich mehr und mehr die Auffassung durch, erster Zweck des Strafrechts sei die ""positive Generalprävention"" die nicht durch Abschreckung, sondern durch das Erlebnis der Gerechtigkeit  die Anerkennung und Befolgung der strafrechtlichen Verbote und Gebote fördere."	Gebot	Abordnung
Hingegen hindert ein Fehler in der Willensbildung nicht das Zustandekommen des Rechtsgeschäftes, sondern ermöglicht nur unter bestimmten Voraussetzungen seine nachträgliche Beseitigung durch Anfechtung.	Anfechtung	Kraftloserklärung von Aktien
Hinsichtlich säumiger Zeugen ist im Vorverfahren wie folgt vorzugehen: .	säumig	säumige Partei
Hinterlegung oder Verwahrung liegt vor, wenn jemandem eine Sache zur Aufbewahrung anvertraut wird.	Aufbewahrung	Obhut
Hufbeschlagschmiedinnen und -schmiede betreiben ein Handwerk, d. h. sie arbeiten mit ihren Händen. Daher kommt auch dem Schutz der Hände eine besondere Bedeutung zu.	Schutz der Hände	Handschutz
Häufig wird die Verhältniswahl. mit einer Mehrheitswahl verbunden, nach der die Kandidaten der einzelnen Wahlkreise gewählt werden, während die Sitze insgesamt nach dem Verhältnis der von den einzelnen Parteien erlangten Sitze verteilt werden .	Kandidat	Bewerber
Im Anhang sind außer den in anderen Bestimmungen die Bewegungen des Anlagesvermögens anzuführen, wobei für jeden einzelnen Posten anzuführen sind: die Aufwendungen; die vorehergehenden Aufwertungen, Abschreibungen und Abwertungen .	Abwertung	Geldentwertung
Im Fall der unterlassenen Einberufung der Gesellschafterversammlung  ist über den gerichtlich bestellten Verwalter die  vorgesehene Strafe zu verhängen.	gerichtlich bestellter Verwalter	Zwangsverwalter
Im Gesellschaftsvertrag kann bestimmt werden, daß der stille Gesellschafter nicht am Verlust beteiligt sein soll .	stiller Gesellschafter	Mitglied,Vereinsmitglied
Im Lagebericht sind der Geschäftsverlauf und die Lage des Unternehmens so darzustellen, daß ein möglichst getreues Bild der Vermögens-, Finanz- und Ertragslage vermittelt wird .	Lagebericht	Verschmelzungsbericht
Im Lagebericht sind zumindest der Geschäftsverlauf und die Lage der Kapitalgesellschaft  darzustellen . Der Lagebericht soll auch eingehen auf  die voraussichtliche Entwicklung der Kapitalgesellschaft .	Lagebericht	Verschmelzungsbericht
Im Rahmen der Service Level-Vereinbarungen werden Verfügbarkeits- und Performancevereinbarungen zwischen Cloud-Nutzerin bzw. Cloud-Nutzer und Cloud-Provider vereinbart und in den Dienstleistervertrag eingebunden.	Cloud-Provider	Koordinator für Sicherheit und Gesundheitsschutz für die Vorbereitungsphase,Planungskoordinator
Im Rechtsmittelverfahren ist die unentgeltliche Rechtspflege neu zu beantragen.	Rechtsmittelverfahren	Anfechtung,Rechtsmittel
Im Rechtssinne spricht man von Selbstverwaltung, wenn öffentliche Verwaltungsaufgaben durch Träger der mittelbaren Staatsverwaltung eigenverantwortlich wahrgenommen werden (sog. eigener Wirkungskreis).	Selbstverwaltung	Rechtsetzungskompetenz
"Im Sinne dieser Verordnung  bedeutet ""korrekte Funktionsfähigkeit"": Wahrung der Vertraulichkeit, der Integrität und Verfügbarkeit der IKT-Infrastruktur."	Verfügbarkeit	Kreditlimit,Kreditrahmen
Im Sinne dieser Verordnung Handelsregisterverordnung gelten als: a. Gewerbe: eine selbstständige, auf dauernden Erwerb gerichtete wirtschaftliche Tätigkeit; b. Rechtsdomizil: die Adresse, unter der die Rechtseinheit an ihrem Sitz erreicht werden kann.	Verordnung	Geschäftsordnung
Im Sozialrecht besteht grundsätzlich eine Pflicht zur Rücknahme mit Rückwirkung.	Rücknahme mit Rückwirkung	Anfechtung,Kraftloserklärung von Aktien
Im Strafverfahren herrscht das Prinzip der freien Beweiswürdigung. Damit ist das Gericht natürlcih nicht völlig frei in seiner Bewertung, sondern es muß im einzelnen begründen, warum es gerade diesem und nicht einem anderen Beweismittel Glauben schenkt..	Prinzip der freien Beweiswürdigung	Grundsatz der freien Beweiswürdigung,Grundsatz der freien richterlichen Beweiswürdigung,freie Überzeugung
Im Verfahren vor Gerichtshöfen hat über den Antrag, wenn derselbe nicht während einer mündlichen Verhandlung gestellt wird, der Vorsitzende des Senates zu entscheiden, dem die Rechtssache zugewiesen ist.	Antrag	Anspruch
Im Verfahren vor diesem Gericht üben die Parteien dieselben Rechte und Befugnisse aus, die ihnen vor dem ursprünglich zuständigen Gericht zugestanden wären.	Befugnis	Fakultät
Im Verfahrensrecht bedeutet das Prinzip der Öffentlichkeit, dass die Allgemeinheit bei Gerichtsverhandlungen, insbesondere bei Verkündungen von Urteilen und Beschlüssen zugelassen ist.	Prinzip der Öffentlichkeit	Öffentlichkeitsprinzip
Im wesentlichen wird es sich in den Fällen der Unzumutbarkeit um einmalige Überförderungen handeln, die durch eine plötzliche Erkrankung, eine seelische Erschütterung wegen eines unmittelbar vorangegangenen Ereignisses oder einen ungewöhnlich hohen Anfall unaufschiebbarer Geschäfte herbeigeführt worden sind.	Unzumutbarkeit	Unerschwinglichkeit
Im Übrigen gelten die Bestimmungen über die Teilung von Miteigentum und die Durchführung der Erbteilung sinngemäss.	Durchführung	Vollstreckung
In Angelegenheiten der Ausbildung und des Berufs nehmen die Eltern insbesondere auf Eignung und Neigung des Kindes Rücksicht .	Ausbildung	Vorbereitung der Entscheidung
In Ausübung der Kontroll-und Aufsichtsfunktion hat das Inspektionspersonal der Landesagentur für Umwelt und Arbeitsschutz zur Durchführung der Tätigkeiten  Zutritt zu den Anlagen und zu den Arbeitsstätten und kann zweckdienliche Daten, Informationen und Unterlagen verlangen .	Zutritt	Eingangsöffnung,Zutrittsrecht
In Bezug auf Elektroarbeiten kann eine Person sein: geeignet, erfahren oder vorgewarnt; wenn sie keine dieser Qualifikationen aufweist, handelt es sich unter diesem Gesichtspunkt um eine gewöhnliche Person.	gewöhnliche Person	PEC,zertifizierte elektronische Post
"In Deutschland sind Postleitzahlen seit dem 1. Juli 1993 5-stellig (von 1941 bis 1961 waren sie 2-stellig, von 1961 bis 1993 4-stellig). Jede Stelle besteht aus einer Ziffer zwischen ""0"" und ""9""."	Postleitzahl	Fahrerlaubnis zur Fahrgastbeförderung
In Erwartung der schiedsrichterlichen Entscheidung werden etwaige Maßnahmen der öffentlichen Verwaltung betreffend die Ausführung von Arbeiten von Amts wegen sowie andere Vertrags- und gesetzmäßige Maßnahmen, die sich im öffentlichen Interesse als notwendig erweisen, nicht ausgesetzt.	gesetzmäßig	rechtsgültig
In Fällen einer Kollusion, eines verbotenen Zusammenwirkens zwischen Vertreter und Geschäftspartner zum Nachteil des Vollmachtgebers, ist allerding das Vertretungsgeschäft nach § 138 Abs. 1 nichtig.	Kollusion	rechtswidrige Absprache
In besonders schwerwiegenden Fällen kann auch die Rücknahme der amtlichen Bewilligung der Skischule verfügt werden.	Rücknahme	Verwirkung
In dem Verschmelzungsvertrag muß der Gesellschaftsvertrag, die Satzung oder das Statut des neuen Rechtsträgers enthalten sein oder festgestellt werden.	neuer Rechtsträger	übernehmende Gesellschaft,übernehmender Rechtsträger
In den Betriebsstätten, in denen verschiedene Gasqualitäten erzeugt werden, die weder explosionsfähig noch selbstentzündend sind, jedoch vermischt gefährliche Reaktionen auslösen, müssen die Geräte, die zur Herstellung der jeweiligen Gase verwendet werden, in abgetrennten und genügend entfernten Räumen aufgestellt werden.	explosionsfähig	Sprengstoff,explosionsgefährlich,explosiv,explosives Material
In den Wahlraum können die Wähler zugelassen werden, welche den Wahlausweis mit der Eintragung in die Sektionsliste oder die vom Bürgermeister ausgestellte Ersatzbescheinigung des Wahlausweises  vorweisen.	Wahlraum	Wahlamt
In der Disziplinarverfügung darf nur der Verweis ausgesprochen oder eine Geldbuße bis zur Höhe von 10 vH des Monatsbezuges - unter Ausschluß der Kinderzulage -, auf den der Beamte im Zeitpunkt der Erlassung der Disziplinarverfügung Anspruch hat, verhängt werden.	Verweis	Zensur
In der Freizeit entfällt  die Hauptpflicht des Arbeitnehmers zur Arbeitsleistung, nicht aber die Treuepflicht.	Treuepflicht	Pflicht zur Treue
In der Literatur wird zunehmend vom schlichten oder schlicht-hoheitlichen Verwaltungshandeln oder vom nichtförmlichen Verwaltungshandeln  gesprochen.	nichtförmliches Verwaltungshandeln	Realakt,Tathandlung
In der Literatur wird zunehmend vom schlichten oder schlicht-hoheitlichen Verwaltungshandeln oder vom nichtförmlichen Verwaltungshandeln  gesprochen.	schlicht-hoheitliches Verwaltungshandeln	Realakt,Tathandlung
"In der Regel bezeichnet das Gesetz die Person des Täters mit dem völlig offenen Wort ""Wer...""."	Täter	Agent,Arbeitsstoff,Einwirkung
In einer ärztlichen Beurteilung vom 17. Juli 2003 gelangte Dr. med. R.________ zum Schluss, ein Zusammenhang mit arbeitsplatzbedingten Einwirkungen sei bezüglich einzelner der bestehenden Beschwerden und Befunde zwar möglich, nicht aber überwiegend wahrscheinlich.	Einwirkung	Agent,Täter
In einigen Fällen verlangt das Gesetz neben den Willenserklärungen noch weitere Vollzugsakte als Bestandteile des Rechtsgeschäfts.	Vollzugsakt	Ausführungshandlung
In folgenden Fällen haben die Bediensteten Anspruch auf bezahlten Sonderurlaub, wobei der jeweilige Grund belegt werden muß: a) bei Heirat: fünfzehn aufeinanderfolgende Tage, in denen der Hochzeitstag enthalten ist, .	Heirat	Ehe
In gewissen Fällen verliert eine Servitut trotz Fortdauer des Eitnrags ihre Daseinsberechtigung: dann nämlich, wenn sie dem Berechtigten gar keinen Vorteil mehr bringt.	Servitut	Dienstbarkeit,Grunddienstbarkeit,Prädialservitut
In jedem Fall hat der Pflichtteilsberechtigte, der die Kürzung von Schenkungen oder von testamentarischen Verfügungen verlangt, auf seinen Pflichtteil die ihm gemachten Schenkungen und ihm ausgesetzten Vermächtnisse anzurechnen .	Pflichtteil	Rücklage,Vorbehalt
In jedem Fall ist das Verlangen auf Herausgabe der Materialien  nach Ablauf von sechs Monaten ab dem Tag, an dem der Eigentümer von der Verbindung Kenntnis erhalten hat, nciht mehr zulässig .	Verbindung	Aufnahme,Übernahme
In jedem Fall muß derjenige, welcher einen Vertrag durch List oder ungerechte Furcht bewirkt hat, für die nachteiligen Folgen Genugtuung leisten.	List	Vorsatz
In Österreich sind die Postleitzahlen vierstellig und wurden zum 1. Jänner 1966 eingeführt.	Postleitzahl	Befähigungsnachweis,Berufsbefähigungsnachweis
Inhaberinnen einer Bewilligung zur Verwaltung und Zuteilung von Kurznummern für SMS- und MMS-Dienste haben die folgenden Pflichten:  Sammlung und Aktualisierung der Daten über die Inhaberinnen und Inhaber der von ihnen zugeteilten Kurznummern für SMS- und MMS-Dienste .	Aktualisierung	Fortbildung,Weiterbildung,berufliche Weiterbildung
Innerhalb der vom B-VG lediglich in Grundzügen vorgenommenen Zuständigkeitsverteilung (Gesetzgebung, Gerichtsbarkeit, Verwaltung) obliegt es dem einfachen Gesetzgeber, detaillierte Festlegungen der Behördenzuständigkeit vorzunehmen.	Behördenzuständigkeit	Zuständigkeit
Innerhalb des zwanzigsten Tages vor dem Wahltag hat die Landeswahlkommission die Zahl und den jeweiligen Ort der Wahlsitze in der Weise festzulegen, daß jedem Wahlsitz so viele Wähler zugewiesen werden, als im Interesse des Wahlgeheimnisses zweckmäßig sind.	Wahlsitz	Wahlamt
Innerhalb einer jeden Liste wird die Reihenfolge der Kandidaten nach den erhaltenen Vorzugsstimmen festgelegt.	Kandidat	Bewerber
Investitionsgüter, auch Produktions- oder Kapitalgüter genannt, befinden sich im Besitz von Betrieben oder werden als Dienstleistungen für Betriebe erbracht. Sie dienen nur mittelbar der Bedürfnisbefriedigung.	Investitionsgut	unverbrauchbare Sache
Irreführende Geschäftspraktiken :  Das Anbieten von Wettbewerben und Preisausschreiben, ohne dass die beschriebenen Preise oder ein angemessenes Äquivalent vergeben werden.	Preis	Prämie,Versicherungsprämie
Ist bei einem oder bei beiden Ehegatten ein Vorsorgefall bereits eingetreten oder können aus andern Gründen Ansprüche aus der beruflichen Vorsorge, die während der Dauer der Ehe erworben worden sind, nicht geteilt werden, so ist eine angemessene Entschädigung geschuldet.	Dauer	Zeit,Zeitpunkt
Ist bei einer Gemeinschaft zur gesamten Hand die Betreibung, wie im vorliegenden Fall, nur gegen einen der Teilhaber eingeleitet worden, so besteht der verwertbare Vermögensgegenstand bloss aus dem Anspruch des Teilhabers auf den Liquidationsanteil .	Teilhaber	Teilnehmer
Ist das Fehlen, die gänzliche oder zum Teil erfolgte Vernichtung, die Verfälschung oder die Verbergung auf vorsätzliches Verhalten des Antragstellers zurückzuführen, ist dieser nicht befugt, den Nachweis gemäß der Bestimmung des vorhergehenden Absatzes zu erbringen.	vorsätzliches Verhalten	Arglist,Vorsatz
Ist das Geschäft durch das Zutun mehrerer Makler zustandegekommen, so hat jeder von ihnen Anspruch auf einen Teil der Provision.	Geschäft	Geschäftsvorgang
Ist das Pfand auf den vereinbarten Termin nicht ausgelöst worden, so kann die Anstalt nach vorgängiger öffentlicher Aufforderung zur Einlösung den Pfandgegenstand amtlich verkaufen lassen.	Termin	Grenzzeichen,prozessuale Frist
Ist das Verfahren ausgesetzt, kann vorbehaltlich einer abweichenden Anordnung des Vollstreckungsrichters keine Vollstreckungshandlung vorgenommen werden.	Anordnung	Bestimmung,Verfügung
Ist das Verfahren ausgesetzt, kann vorbehaltlich einer abweichenden Anordnung des Vollstreckungsrichters keine Vollstreckungshandlung vorgenommen werden.	Vollstreckungshandlung	Ausführungshandlung
